MUNICIPALITY_ID,MUNICIPALITY,PROVINCE,PROVINCE_ID
1294,Bangued,Abra,1
1295,Boliney,Abra,1
1296,Bucay,Abra,1
1297,Bucloc,Abra,1
1298,Daguioman,Abra,1
1299,Danglas,Abra,1
1300,Dolores,Abra,1
1302,Lacub,Abra,1
1303,Lagangilang,Abra,1
1304,Lagayan,Abra,1
1305,Langiden,Abra,1
1301,La Paz,Abra,1
1306,Licuan-Baay,Abra,1
1307,Luba,Abra,1
1308,Malibcong,Abra,1
1309,Manabo,Abra,1
1310,Peñarrubia,Abra,1
1311,Pidigan,Abra,1
1312,Pilar,Abra,1
1313,Sallapadan,Abra,1
1314,San Isidro,Abra,1
1315,San Juan,Abra,1
1316,San Quintin,Abra,1
1317,Tayum,Abra,1
1318,Tineg,Abra,1
1319,Tubo,Abra,1
1320,Villaviciosa,Abra,1
1364,Calanasan,Apayao,2
1365,Conner,Apayao,2
1366,Flora,Apayao,2
1367,Kabugao,Apayao,2
1368,Luna,Apayao,2
1369,Pudtol,Apayao,2
1370,Santa Marcela,Apayao,2
1321,Atok,Benguet,3
1322,Baguio City,Benguet,3
1323,Bakun,Benguet,3
1324,Bokod,Benguet,3
1325,Buguias,Benguet,3
1326,Itogon,Benguet,3
1327,Kabayan,Benguet,3
1328,Kapangan,Benguet,3
1329,Kibungan,Benguet,3
1330,La Trinidad,Benguet,3
1331,Mankayan,Benguet,3
1332,Sablan,Benguet,3
1333,Tuba,Benguet,3
1334,Tublay,Benguet,3
1342,Aguinaldo,Ifugao,4
1341,Alfonso Lista,Ifugao,4
1345,Asipulo,Ifugao,4
1335,Banaue,Ifugao,4
1343,Hingyon,Ifugao,4
1336,Hungduan,Ifugao,4
1337,Kiangan,Ifugao,4
1338,Lagawe,Ifugao,4
1339,Lamut,Ifugao,4
1340,Mayoyao,Ifugao,4
1344,Tinoc,Ifugao,4
1346,Balbalan,Kalinga,5
1347,Lubuagan,Kalinga,5
1348,Pasil,Kalinga,5
1349,Pinukpuk,Kalinga,5
1350,Rizal,Kalinga,5
1351,Tabuk City,Kalinga,5
1352,Tanudan,Kalinga,5
1353,Tinglayan,Kalinga,5
1354,Barlig,Mountain Province,6
1355,Bauko,Mountain Province,6
1356,Besao,Mountain Province,6
1357,Bontoc,Mountain Province,6
1358,Natonin,Mountain Province,6
1359,Paracelis,Mountain Province,6
1360,Sabangan,Mountain Province,6
1361,Sadanga,Mountain Province,6
1362,Sagada,Mountain Province,6
1363,Tadian,Mountain Province,6
1,Adams,Ilocos Norte,7
2,Bacarra,Ilocos Norte,7
3,Badoc,Ilocos Norte,7
4,Bangui,Ilocos Norte,7
11,Banna,Ilocos Norte,7
5,Batac City,Ilocos Norte,7
6,Burgos,Ilocos Norte,7
7,Carasi,Ilocos Norte,7
8,Currimao,Ilocos Norte,7
9,Dingras,Ilocos Norte,7
10,Dumalneg,Ilocos Norte,7
12,Laoag City,Ilocos Norte,7
13,Marcos,Ilocos Norte,7
14,Nueva Era,Ilocos Norte,7
15,Pagudpud,Ilocos Norte,7
16,Paoay,Ilocos Norte,7
17,Pasuquin,Ilocos Norte,7
18,Piddig,Ilocos Norte,7
19,Pinili,Ilocos Norte,7
20,San Nicolas,Ilocos Norte,7
21,Sarrat,Ilocos Norte,7
22,Solsona,Ilocos Norte,7
23,Vintar,Ilocos Norte,7
24,Alilem,Ilocos Sur,8
25,Banayoyo,Ilocos Sur,8
26,Bantay,Ilocos Sur,8
27,Burgos,Ilocos Sur,8
28,Cabugao,Ilocos Sur,8
29,Candon City,Ilocos Sur,8
30,Caoayan,Ilocos Sur,8
31,Cervantes,Ilocos Sur,8
32,Galimuyod,Ilocos Sur,8
33,Gregorio Del Pilar,Ilocos Sur,8
